"x","y","pm10_p904_22"
4335500,2611500,11.1597032546997
4336500,2611500,10.4148416519165
4337500,2611500,11.0839595794678
4338500,2611500,10.4276256561279
4339500,2611500,10.2626609802246
4333500,2610500,10.1321821212769
4334500,2610500,11.0951166152954
4335500,2610500,10.3101091384888
4336500,2610500,9.82309913635254
4337500,2610500,10.2296361923218
4338500,2610500,10.9143848419189
4339500,2610500,10.2254543304443
4340500,2610500,9.95781803131104
4341500,2610500,10.0746908187866
4331500,2609500,10.2347955703735
4332500,2609500,9.97750949859619
4333500,2609500,10.6186408996582
4334500,2609500,11.6251935958862
4335500,2609500,10.4155397415161
4336500,2609500,10.0189895629883
4337500,2609500,10.567964553833
4338500,2609500,11.0248279571533
4339500,2609500,10.4714136123657
4340500,2609500,10.4921531677246
4341500,2609500,10.8431386947632
4342500,2609500,11.2679882049561
4343500,2609500,10.6710214614868
4329500,2608500,10.4021883010864
4330500,2608500,10.5507469177246
4331500,2608500,10.858943939209
4332500,2608500,10.3304376602173
4333500,2608500,11.0006589889526
4334500,2608500,11.6828174591064
4335500,2608500,10.5605039596558
4336500,2608500,10.1380300521851
4337500,2608500,10.8494358062744
4338500,2608500,11.1952028274536
4339500,2608500,10.6261425018311
4340500,2608500,11.0421161651611
4341500,2608500,10.8453598022461
4342500,2608500,10.8926105499268
4343500,2608500,10.9946937561035
4344500,2608500,11.0574064254761
4328500,2607500,9.92710399627686
4329500,2607500,10.3069505691528
4330500,2607500,10.4231491088867
4331500,2607500,10.9872255325317
4332500,2607500,10.7180261611938
4333500,2607500,11.3027868270874
4334500,2607500,11.2576150894165
4335500,2607500,10.3841791152954
4336500,2607500,10.0834159851074
4337500,2607500,10.5914077758789
4338500,2607500,11.2076025009155
4339500,2607500,11.1005544662476
4340500,2607500,11.0455474853516
4341500,2607500,10.4720630645752
4342500,2607500,10.4639167785645
4343500,2607500,10.4438381195068
4344500,2607500,10.9740047454834
4345500,2607500,11.0523357391357
4346500,2607500,10.7307548522949
4328500,2606500,9.97785472869873
4329500,2606500,10.6267862319946
4330500,2606500,10.3916215896606
4331500,2606500,10.6919193267822
4332500,2606500,11.1121158599854
4333500,2606500,11.8496561050415
4334500,2606500,10.79771900177
4335500,2606500,10.1919870376587
4336500,2606500,10.1982755661011
4337500,2606500,10.6861162185669
4338500,2606500,11.1360969543457
4339500,2606500,11.3138780593872
4340500,2606500,11.0203762054443
4341500,2606500,10.5320053100586
4342500,2606500,10.1164131164551
4343500,2606500,10.1861429214478
4344500,2606500,10.6508932113647
4345500,2606500,10.9566192626953
4346500,2606500,10.9565200805664
4347500,2606500,10.9782390594482
4348500,2606500,11.0371360778809
4328500,2605500,10.1842632293701
4329500,2605500,10.8705272674561
4330500,2605500,10.7998895645142
4331500,2605500,10.8075475692749
4332500,2605500,11.9506864547729
4333500,2605500,11.8948345184326
4334500,2605500,10.7183332443237
4335500,2605500,10.3761978149414
4336500,2605500,10.183575630188
4337500,2605500,10.5273933410645
4338500,2605500,10.8982944488525
4339500,2605500,11.2331533432007
4340500,2605500,11.2277736663818
4341500,2605500,10.8106842041016
4342500,2605500,10.4751663208008
4343500,2605500,10.1498470306396
4344500,2605500,10.6301946640015
4345500,2605500,10.6888246536255
4346500,2605500,10.6298065185547
4347500,2605500,10.6902341842651
4348500,2605500,10.7758026123047
4349500,2605500,10.6315355300903
4350500,2605500,10.734564781189
4327500,2604500,10.0621118545532
4328500,2604500,11.0516796112061
4329500,2604500,11.4172687530518
4330500,2604500,11.7868280410767
4331500,2604500,24.2895126342773
4332500,2604500,11.8036193847656
4333500,2604500,10.948655128479
4334500,2604500,11.1188545227051
4335500,2604500,10.8179750442505
4336500,2604500,10.6802911758423
4337500,2604500,10.5406064987183
4338500,2604500,10.6140651702881
4339500,2604500,10.9380493164062
4340500,2604500,11.3264064788818
4341500,2604500,11.1118879318237
4342500,2604500,10.5540628433228
4343500,2604500,10.2472314834595
4344500,2604500,10.4328079223633
4345500,2604500,10.4720773696899
4346500,2604500,10.498779296875
4347500,2604500,10.4676465988159
4348500,2604500,10.5037317276001
4349500,2604500,10.4871692657471
4350500,2604500,10.5447216033936
4351500,2604500,10.3162536621094
4352500,2604500,9.70891761779785
4327500,2603500,10.3520364761353
4328500,2603500,10.4683933258057
4329500,2603500,11.1387519836426
4330500,2603500,11.2488021850586
4331500,2603500,24.357385635376
4332500,2603500,12.7414779663086
4333500,2603500,10.6874513626099
4334500,2603500,11.3035306930542
4335500,2603500,10.7685194015503
4336500,2603500,10.5081806182861
4337500,2603500,10.6662368774414
4338500,2603500,10.7629051208496
4339500,2603500,10.8861646652222
4340500,2603500,11.8822841644287
4341500,2603500,12.5181751251221
4342500,2603500,10.9668750762939
4343500,2603500,10.3957176208496
4344500,2603500,10.2689828872681
4345500,2603500,10.3318319320679
4346500,2603500,10.3424968719482
4347500,2603500,10.3483371734619
4348500,2603500,10.7008142471313
4349500,2603500,10.6005802154541
4350500,2603500,10.4327602386475
4351500,2603500,10.1639232635498
4352500,2603500,9.85972309112549
4353500,2603500,9.99631500244141
4354500,2603500,10.1573343276978
4327500,2602500,10.1282653808594
4328500,2602500,10.7351970672607
4329500,2602500,12.1097183227539
4330500,2602500,17.0210838317871
4331500,2602500,24.4500770568848
4332500,2602500,11.3908405303955
4333500,2602500,10.8125858306885
4334500,2602500,14.1700878143311
4335500,2602500,12.1241912841797
4336500,2602500,10.7710304260254
4337500,2602500,10.4934711456299
4338500,2602500,10.34446144104
4339500,2602500,10.7769994735718
4340500,2602500,11.231128692627
