"x","y","EEA_1kmgrid_2014_pm10_avg"
4509500,2621500,5.973
4510500,2621500,5.667
4511500,2621500,5.667
4512500,2621500,5.667
4513500,2621500,5.667
4514500,2621500,5.667
4515500,2621500,5.667
4516500,2621500,5.667
4507500,2620500,5.973
4508500,2620500,5.973
4509500,2620500,5.973
4510500,2620500,5.667
4511500,2620500,5.667
4512500,2620500,5.667
4513500,2620500,5.667
4514500,2620500,5.667
4515500,2620500,5.667
4516500,2620500,5.667
4517500,2620500,5.667
4518500,2620500,5.667
4519500,2620500,5.667
4520500,2620500,5.829
4521500,2620500,5.829
4522500,2620500,5.829
4523500,2620500,5.829
4524500,2620500,5.829
4506500,2619500,6.543
4507500,2619500,6.543
4508500,2619500,6.543
4509500,2619500,6.543
4510500,2619500,6.191
4511500,2619500,6.191
4512500,2619500,6.191
4513500,2619500,6.191
4514500,2619500,6.191
4515500,2619500,6.191
4516500,2619500,6.191
4517500,2619500,6.191
4518500,2619500,6.191
4519500,2619500,6.191
4520500,2619500,6.349
4521500,2619500,6.349
4522500,2619500,6.349
4523500,2619500,6.349
4524500,2619500,6.349
4525500,2619500,6.349
4526500,2619500,6.349
4527500,2619500,6.349
4528500,2619500,6.349
4480500,2618500,6.41
4481500,2618500,6.41
4504500,2618500,6.543
4505500,2618500,6.543
4506500,2618500,6.543
4507500,2618500,6.543
4508500,2618500,6.543
4509500,2618500,6.543
4510500,2618500,6.191
4511500,2618500,6.191
4512500,2618500,6.191
4513500,2618500,6.191
4514500,2618500,6.191
4515500,2618500,6.191
4516500,2618500,6.191
4517500,2618500,6.191
4518500,2618500,6.191
4519500,2618500,6.191
4520500,2618500,6.349
4521500,2618500,6.349
4522500,2618500,6.349
4523500,2618500,6.349
4524500,2618500,6.349
4525500,2618500,6.349
4526500,2618500,6.349
4527500,2618500,6.349
4528500,2618500,6.349
4529500,2618500,6.349
4479500,2617500,6.002
4480500,2617500,6.41
4481500,2617500,6.41
4482500,2617500,6.41
4483500,2617500,6.41
4484500,2617500,6.41
4485500,2617500,6.41
4486500,2617500,6.41
4487500,2617500,6.41
4488500,2617500,6.41
4502500,2617500,6.543
4503500,2617500,6.543
4504500,2617500,6.543
4505500,2617500,6.543
4506500,2617500,6.543
4507500,2617500,6.543
4508500,2617500,6.543
4509500,2617500,6.543
4510500,2617500,6.191
4511500,2617500,6.191
4512500,2617500,6.191
4513500,2617500,6.191
4514500,2617500,6.191
4515500,2617500,6.191
4516500,2617500,6.191
4517500,2617500,6.191
4518500,2617500,6.191
4519500,2617500,6.191
4520500,2617500,6.349
4521500,2617500,6.349
4522500,2617500,6.349
4523500,2617500,6.349
4524500,2617500,6.349
4525500,2617500,6.349
4526500,2617500,6.349
4527500,2617500,6.349
4528500,2617500,6.349
4529500,2617500,6.349
4530500,2617500,7.575
4479500,2616500,6.002
4480500,2616500,6.41
4481500,2616500,6.41
4482500,2616500,6.41
4483500,2616500,6.41
4484500,2616500,6.41
4485500,2616500,6.41
4486500,2616500,6.41
4487500,2616500,6.41
4488500,2616500,6.41
4489500,2616500,6.41
4490500,2616500,6.341
4491500,2616500,6.341
4492500,2616500,6.341
4493500,2616500,6.341
4494500,2616500,6.341
4495500,2616500,6.341
4501500,2616500,6.543
4502500,2616500,6.543
4503500,2616500,6.543
4504500,2616500,6.543
4505500,2616500,6.543
4506500,2616500,6.543
4507500,2616500,6.543
4508500,2616500,6.543
4509500,2616500,6.543
4510500,2616500,6.191
4511500,2616500,6.191
4512500,2616500,6.191
4513500,2616500,6.191
4514500,2616500,6.191
4515500,2616500,6.191
4516500,2616500,6.191
4517500,2616500,6.191
4518500,2616500,6.191
4519500,2616500,6.191
4520500,2616500,6.349
4521500,2616500,6.349
4522500,2616500,6.349
4523500,2616500,6.349
4524500,2616500,6.349
4525500,2616500,6.349
4526500,2616500,6.349
4527500,2616500,6.349
4528500,2616500,6.349
4529500,2616500,6.349
4530500,2616500,7.575
4478500,2615500,6.002
4479500,2615500,6.002
4480500,2615500,6.41
4481500,2615500,6.41
4482500,2615500,6.41
4483500,2615500,6.41
4484500,2615500,6.41
4485500,2615500,6.41
4486500,2615500,6.41
4487500,2615500,6.41
4488500,2615500,6.41
4489500,2615500,6.41
4490500,2615500,6.341
4491500,2615500,6.341
4492500,2615500,6.341
4493500,2615500,6.341
4494500,2615500,6.341
4495500,2615500,6.341
4496500,2615500,6.341
4497500,2615500,6.341
4498500,2615500,6.341
4499500,2615500,6.341
4500500,2615500,6.543
4501500,2615500,6.543
4502500,2615500,6.543
4503500,2615500,6.543
4504500,2615500,6.543
4505500,2615500,6.543
4506500,2615500,6.543
4507500,2615500,6.543
4508500,2615500,6.543
4509500,2615500,6.543
4510500,2615500,6.191
4511500,2615500,6.191
4512500,2615500,6.191
4513500,2615500,6.191
4514500,2615500,6.191
4515500,2615500,6.191
4516500,2615500,6.191
4517500,2615500,6.191
4518500,2615500,6.191
4519500,2615500,6.191
4520500,2615500,6.349
4521500,2615500,6.349
4522500,2615500,6.349
4523500,2615500,6.349
4524500,2615500,6.349
4525500,2615500,13.58
4526500,2615500,6.349
4527500,2615500,6.349
4528500,2615500,6.349
4529500,2615500,6.349
4530500,2615500,7.575
4478500,2614500,6.002
4479500,2614500,6.002
4480500,2614500,6.41
4481500,2614500,6.41
4482500,2614500,6.41
4483500,2614500,6.41
4484500,2614500,6.41
4485500,2614500,6.41
4486500,2614500,6.41
4487500,2614500,6.41
4488500,2614500,6.41
4489500,2614500,6.41
4490500,2614500,6.341
4491500,2614500,6.341
4492500,2614500,6.341
4493500,2614500,6.341
4494500,2614500,6.341
4495500,2614500,6.341
4496500,2614500,6.341
4497500,2614500,6.341
4498500,2614500,6.341
4499500,2614500,6.341
4500500,2614500,6.543
4501500,2614500,6.543
4502500,2614500,6.543
4503500,2614500,6.543
4504500,2614500,6.543
4505500,2614500,6.543
4506500,2614500,6.543
4507500,2614500,6.543
4508500,2614500,6.543
4509500,2614500,6.543
4510500,2614500,6.191
4511500,2614500,6.191
4512500,2614500,6.191
4513500,2614500,6.191
4514500,2614500,6.191
4515500,2614500,6.191
4516500,2614500,6.191
4517500,2614500,6.191
4518500,2614500,6.191
4519500,2614500,6.191
4520500,2614500,6.349
4521500,2614500,6.349
