"AQ_PM10_BK_Pred","AQ_PM10_BK_Var","AQ_PM25_BK_Pred","AQ_PM25_BK_Var","ASR","Year"
34.8583366297336,0.598680302316195,26.1927668256734,0.292434619084716,"ALTA BRIANZA",2011
32.3678575147765,0.404652076357578,24.2190037428408,0.253467041323942,"ALTA BRIANZA",2012
28.72355531522,0.389122707978656,22.5761604050665,0.218681019719371,"ALTA BRIANZA",2013
24.2158600707097,0.295070304177168,18.4558567240299,0.166599595155917,"ALTA BRIANZA",2014
28.0039625273829,0.493431199277911,20.6690597992547,0.296454102049321,"ALTA BRIANZA",2015
23.7971034801368,0.410438954300329,17.18581293639,0.217788448420803,"ALTA BRIANZA",2016
26.3348596041807,0.533218696571262,19.1804823258325,0.279035289170592,"ALTA BRIANZA",2017
24.5013007029485,0.419952636583772,17.9823798272593,0.231943014479173,"ALTA BRIANZA",2018
20.8622363238636,0.346752780549112,14.8106963465213,0.210952640716249,"ALTA BRIANZA",2019
22.2023147168593,0.435374904741503,16.2375062603021,0.245692568341289,"ALTA BRIANZA",2020
22.6143028449742,0.352411419048093,15.0463734085685,0.182987755928104,"ALTA BRIANZA",2021
NA,NA,NA,NA,"ALTA BRIANZA",2022
NA,NA,NA,NA,"ALTA BRIANZA",2023
NA,NA,NA,NA,"ALTA BRIANZA",2024
10.792220890991,0.328173236142716,7.67981395057772,0.160229857938432,"ALTA VAL CAMONICA",2011
11.3095160287229,0.222086471372726,7.53696228978285,0.138952494517444,"ALTA VAL CAMONICA",2012
9.35406924436607,0.213387343595539,7.96534373836972,0.119720380672155,"ALTA VAL CAMONICA",2013
7.90971155447661,0.161790700550195,6.28161396170768,0.091201488066855,"ALTA VAL CAMONICA",2014
8.14156934950164,0.270818537255734,5.20748971010897,0.162635969620965,"ALTA VAL CAMONICA",2015
8.19228181316087,0.224992261192288,5.33730057535994,0.119313548864793,"ALTA VAL CAMONICA",2016
9.27745619468284,0.29221114845932,5.76244735263862,0.152883094215426,"ALTA VAL CAMONICA",2017
6.23386967151166,0.230341856684069,3.78422267766007,0.127210250195268,"ALTA VAL CAMONICA",2018
6.3538893994523,0.190420848314368,3.15569569527635,0.11586828240709,"ALTA VAL CAMONICA",2019
5.77991564529837,0.238929965707599,3.34132668475471,0.134766973092077,"ALTA VAL CAMONICA",2020
6.54470879476825,0.193315665483207,3.47386255131527,0.100355341915447,"ALTA VAL CAMONICA",2021
NA,NA,NA,NA,"ALTA VAL CAMONICA",2022
NA,NA,NA,NA,"ALTA VAL CAMONICA",2023
NA,NA,NA,NA,"ALTA VAL CAMONICA",2024
11.8756129289855,0.187919303610296,7.62729871884483,0.0917698449328671,"ALTA VAL DI SUSA",2011
15.086642406338,0.127100886899517,8.33630486232485,0.0795642318727881,"ALTA VAL DI SUSA",2012
8.78949368582226,0.122168069086883,7.09392662657018,0.0685943520380651,"ALTA VAL DI SUSA",2013
9.41761017745015,0.225185464395491,7.12009419685053,0.126881643401976,"ALTA VAL DI SUSA",2014
10.9967304190611,0.154988573683733,7.0511318015599,0.0930947541549802,"ALTA VAL DI SUSA",2015
7.99555983542506,0.128834116740736,5.47575221664237,0.0683397861906131,"ALTA VAL DI SUSA",2016
12.7125263597649,0.167347135821181,9.293141134605,0.0875633889778915,"ALTA VAL DI SUSA",2017
8.57884472093818,0.131862342896855,4.22010345359899,0.0728256644820718,"ALTA VAL DI SUSA",2018
9.19534625434199,0.108949716057949,3.46563608510466,0.0662884462911803,"ALTA VAL DI SUSA",2019
5.65856744560307,0.136745198810065,2.84883367057221,0.0771476694683898,"ALTA VAL DI SUSA",2020
6.89703441947136,0.11066104052166,3.18283543530051,0.0574530384995758,"ALTA VAL DI SUSA",2021
NA,NA,NA,NA,"ALTA VAL DI SUSA",2022
NA,NA,NA,NA,"ALTA VAL DI SUSA",2023
NA,NA,NA,NA,"ALTA VAL DI SUSA",2024
18.1218795217775,0.0863137816787921,13.0472335236896,0.0421595021662372,"ALTA VAL SABBIA",2011
18.7539471899786,0.0583469879310457,12.715048395064,0.0365435039182108,"ALTA VAL SABBIA",2012
15.7718749424972,0.0561033077080442,12.3152107203395,0.0315241889232818,"ALTA VAL SABBIA",2013
14.0785100626912,0.0425424199991074,10.5044521522042,0.0240161862331138,"ALTA VAL SABBIA",2014
13.7618762633715,0.0711482780768117,9.94265026589756,0.0427441301910263,"ALTA VAL SABBIA",2015
11.8115877920468,0.0591745255911687,8.59607289867272,0.0313975563356114,"ALTA VAL SABBIA",2016
12.5778148852001,0.0768739815873652,8.98843066582622,0.0402276309278274,"ALTA VAL SABBIA",2017
11.4257449370487,0.0605495530142087,8.00140085245052,0.0334417393391159,"ALTA VAL SABBIA",2018
11.1359628127173,0.0500013349356119,7.27107467235195,0.0304197073645681,"ALTA VAL SABBIA",2019
11.282906293618,0.0627764607147537,7.33297025844945,0.0354245614289823,"ALTA VAL SABBIA",2020
11.342507303617,0.0508118389337597,7.07418449042864,0.0263831979696756,"ALTA VAL SABBIA",2021
NA,NA,NA,NA,"ALTA VAL SABBIA",2022
NA,NA,NA,NA,"ALTA VAL SABBIA",2023
NA,NA,NA,NA,"ALTA VAL SABBIA",2024
19.3507835279563,0.0849134178894314,14.0841441872418,0.0414776092017789,"ALTA VAL TROMPIA",2011
18.4841234858308,0.0573923172315788,13.071677730353,0.0359502719816517,"ALTA VAL TROMPIA",2012
15.471754156935,0.0551905585422063,13.4907719037164,0.0310172190869048,"ALTA VAL TROMPIA",2013
