"x","y","o3_aot40f_22"
4491000,2611000,47296.8515625
4493000,2611000,40787.078125
4495000,2611000,41226.91015625
4497000,2611000,44028.19140625
4499000,2611000,36836.01953125
4501000,2611000,32463.978515625
4503000,2611000,30834.6328125
4505000,2611000,31744.5546875
4507000,2611000,39505.09375
4509000,2611000,39818.0390625
4511000,2611000,31760.873046875
4513000,2611000,28792.162109375
4515000,2611000,26462.994140625
4517000,2611000,31585.79296875
4519000,2611000,27725.998046875
4521000,2611000,25455.775390625
4523000,2611000,27731.681640625
4525000,2611000,31271.654296875
4527000,2611000,31533.970703125
4529000,2611000,29276.076171875
4531000,2611000,27839.869140625
4533000,2611000,25139.5
4535000,2611000,22810.560546875
4537000,2611000,23601.529296875
4539000,2611000,25719.6171875
4541000,2611000,32015.53515625
4057000,2609000,40752.078125
4059000,2609000,41362.328125
4061000,2609000,43039.609375
4063000,2609000,44183.1015625
4065000,2609000,45270.1015625
4067000,2609000,45617.859375
4069000,2609000,43167.58203125
4071000,2609000,42750.37109375
4073000,2609000,41811.6796875
4075000,2609000,40146.4921875
4077000,2609000,36574.90234375
4079000,2609000,37115.1328125
4081000,2609000,38884.25390625
4083000,2609000,38065.203125
4085000,2609000,38406.41796875
4087000,2609000,44717.34375
4089000,2609000,43686.1015625
4091000,2609000,44445.61328125
4093000,2609000,42969.18359375
4095000,2609000,41209.67578125
4097000,2609000,34019.3203125
4099000,2609000,36910.015625
4101000,2609000,44243.46875
4103000,2609000,44179.5
4105000,2609000,45525.87890625
4107000,2609000,43131.16015625
4109000,2609000,45377.109375
4111000,2609000,46077.19140625
4113000,2609000,42715.8515625
4115000,2609000,44143.3828125
4117000,2609000,40952.48046875
4119000,2609000,35618.75390625
4121000,2609000,36113.1796875
4123000,2609000,44041.53125
4125000,2609000,46713.765625
4127000,2609000,40965.9921875
4129000,2609000,39295.1640625
4131000,2609000,45514.05078125
4133000,2609000,45302.16796875
4135000,2609000,46445.1796875
4137000,2609000,38943.08984375
4139000,2609000,32285.76171875
4141000,2609000,30535.3984375
4143000,2609000,38765.80078125
4145000,2609000,41860.34375
4147000,2609000,35830.36328125
4149000,2609000,39838.30859375
4151000,2609000,42023.7734375
4153000,2609000,48463.5625
4155000,2609000,50715.265625
4157000,2609000,51095.1953125
4159000,2609000,43721.9296875
4161000,2609000,35304.296875
4163000,2609000,42120.140625
4165000,2609000,46060.79296875
4167000,2609000,58153.22265625
4169000,2609000,61127.65234375
4171000,2609000,52098.59765625
4173000,2609000,48389.15625
4175000,2609000,53428.48828125
4177000,2609000,64343.48046875
4179000,2609000,59715.46875
4181000,2609000,53344.1796875
4183000,2609000,56586.91015625
4185000,2609000,57093.80859375
4187000,2609000,56132.84375
4189000,2609000,52964.7578125
4191000,2609000,49584.921875
4193000,2609000,44449.4921875
4195000,2609000,53734.06640625
4197000,2609000,50445.82421875
4199000,2609000,55903.48828125
4201000,2609000,50089.20703125
4203000,2609000,47835.484375
4205000,2609000,44240.2265625
4207000,2609000,49277.4609375
4209000,2609000,51246.6171875
4211000,2609000,48310.1796875
4213000,2609000,52817.76953125
4215000,2609000,55906.9921875
4217000,2609000,50597.66015625
4219000,2609000,52017.96484375
4221000,2609000,56420.0625
4223000,2609000,56170.3671875
4225000,2609000,54952.84375
4227000,2609000,52512.58203125
4229000,2609000,47516.59375
4231000,2609000,53414.25
4233000,2609000,49806.7265625
4235000,2609000,51250.45703125
4237000,2609000,55171.96484375
4239000,2609000,46749.859375
4241000,2609000,50394.8828125
4243000,2609000,49245.7265625
4245000,2609000,50678.19921875
4247000,2609000,57523.8828125
4249000,2609000,54228.0703125
4251000,2609000,56806.0078125
4253000,2609000,54130.125
4255000,2609000,45915.765625
4257000,2609000,47959.05078125
4259000,2609000,45811.91015625
4261000,2609000,53454.96875
4263000,2609000,54481.66796875
4265000,2609000,49938.76953125
4267000,2609000,55661.79296875
4269000,2609000,57444.80078125
4271000,2609000,54265.96875
4273000,2609000,52733.6796875
4275000,2609000,47169.74609375
4277000,2609000,37722.640625
4279000,2609000,48723.515625
4281000,2609000,54859.203125
4283000,2609000,55962.796875
4285000,2609000,50589.93359375
4287000,2609000,46953.96484375
4289000,2609000,39747.43359375
4291000,2609000,38612.125
4293000,2609000,46981.7265625
4295000,2609000,51590.6484375
4297000,2609000,54484.75
4299000,2609000,57453.57421875
4301000,2609000,51438.94140625
4303000,2609000,46193.47265625
4305000,2609000,51395.09765625
4307000,2609000,56432.6953125
4309000,2609000,57024.2734375
4311000,2609000,54247.03125
4313000,2609000,51456.7578125
4315000,2609000,48169.08984375
4317000,2609000,42443.5625
4319000,2609000,43932.8984375
4321000,2609000,50981.1328125
4323000,2609000,47804.3671875
4325000,2609000,51288.421875
4327000,2609000,49690.3828125
4329000,2609000,54304.87109375
4331000,2609000,50777.8671875
4333000,2609000,51282.875
4335000,2609000,47748.75390625
4337000,2609000,53699.0546875
4339000,2609000,49076.39453125
4341000,2609000,49248.0078125
4343000,2609000,49053.0546875
4345000,2609000,52245
4347000,2609000,53245.6015625
4349000,2609000,47538.578125
4351000,2609000,42415.63671875
4353000,2609000,40639.5
4355000,2609000,45970.3671875
4357000,2609000,52811.71484375
4359000,2609000,52955.1640625
4361000,2609000,43184.96875
4363000,2609000,36396.73046875
4365000,2609000,40722.20703125
4367000,2609000,42664.3359375
4369000,2609000,45432.65625
4371000,2609000,43921.90234375
4373000,2609000,44321.28515625
4375000,2609000,40496.1328125
4377000,2609000,43060.91796875
4379000,2609000,41839.53125
4381000,2609000,41583.109375
4383000,2609000,36532.34765625
4385000,2609000,35400.3828125
4387000,2609000,37520.40625
4389000,2609000,37300.2265625
4391000,2609000,44083.9609375
4393000,2609000,47670.75
4395000,2609000,49780.0390625
4397000,2609000,50372.3515625
4399000,2609000,48897.2890625
4401000,2609000,42809.796875
4403000,2609000,35657.484375
4405000,2609000,32450.47265625
4407000,2609000,41041.640625
4409000,2609000,32487.939453125
4411000,2609000,27150.44921875
4413000,2609000,29302.09765625
4415000,2609000,40149.3828125
4417000,2609000,43682.984375
4419000,2609000,46200.33203125
4421000,2609000,45545.41015625
4423000,2609000,46598.7109375
4425000,2609000,45948.5390625
4427000,2609000,39275.1015625
4429000,2609000,47492.015625
4431000,2609000,49936.5625
4433000,2609000,50822.18359375
4435000,2609000,46998.3515625
4437000,2609000,35392.08984375
4439000,2609000,36416.98828125
4441000,2609000,39809.140625
4443000,2609000,39585.203125
4445000,2609000,40729.6171875
4447000,2609000,40175.609375
4449000,2609000,41771.7578125
4451000,2609000,43152.26171875
4453000,2609000,48436.8046875
4455000,2609000,47175.6796875
4457000,2609000,51924.47265625
4459000,2609000,48361.73046875
4461000,2609000,48096.83984375
4463000,2609000,51316.3046875
4465000,2609000,46097.5703125
4467000,2609000,38282.4609375
4469000,2609000,38852.4921875
4471000,2609000,45602.8671875
4473000,2609000,53761.2421875
4475000,2609000,49240.06640625
4477000,2609000,50394.09765625
4479000,2609000,44186.08984375
4481000,2609000,43454.265625
4483000,2609000,36074.203125
4485000,2609000,41288.65625
4487000,2609000,42142.50390625
4489000,2609000,48991.0703125
4491000,2609000,47335.296875
4493000,2609000,39601.484375
4495000,2609000,42918.36328125
4497000,2609000,42956.8984375
4499000,2609000,38767.5625
4501000,2609000,31307.837890625
4503000,2609000,32303.36328125
4505000,2609000,26854.63671875
4507000,2609000,29786.1484375
4509000,2609000,33479.03125
4511000,2609000,31802.796875
4513000,2609000,30126.4609375
4515000,2609000,26926.314453125
4517000,2609000,25812.44140625
4519000,2609000,24617.990234375
4521000,2609000,29041.650390625
4523000,2609000,33914.70703125
4525000,2609000,27378.439453125
4527000,2609000,26379.0625
4529000,2609000,29054.8671875
4531000,2609000,28478.4375
4533000,2609000,32187.521484375
4535000,2609000,28646.869140625
4537000,2609000,26699.46875
4539000,2609000,22430.37109375
4541000,2609000,24687.287109375
4057000,2607000,40789.40234375
4059000,2607000,40712.62109375
4061000,2607000,41597.5859375
4063000,2607000,42700.06640625
4065000,2607000,43523.41796875
4067000,2607000,44298.20703125
4069000,2607000,42160.8125
4071000,2607000,41788.046875
4073000,2607000,41347.5078125
4075000,2607000,40189.52734375
4077000,2607000,37569.8515625
4079000,2607000,37674.8203125
4081000,2607000,38653.765625
4083000,2607000,38125.3359375
4085000,2607000,38683.0546875
4087000,2607000,41796.3671875
4089000,2607000,43277.6796875
4091000,2607000,45406.2265625
4093000,2607000,41138.5859375
4095000,2607000,37264.46875
4097000,2607000,34556.15234375
4099000,2607000,40245.5234375
4101000,2607000,46857.9140625
4103000,2607000,49431.96484375
4105000,2607000,45156.26171875
4107000,2607000,45421.60546875
4109000,2607000,44216.66015625
4111000,2607000,45540.37109375
4113000,2607000,45983.12890625
4115000,2607000,42326.1796875
4117000,2607000,40410.1796875
4119000,2607000,35359.51171875
4121000,2607000,36439.9375
4123000,2607000,43168.72265625
4125000,2607000,46958.07421875
4127000,2607000,44532.515625
4129000,2607000,42582.953125
4131000,2607000,46966.6015625
4133000,2607000,49892.86328125
4135000,2607000,42483.47265625
4137000,2607000,34574.03515625
4139000,2607000,38665.52734375
4141000,2607000,32824.86328125
4143000,2607000,39688.44921875
4145000,2607000,48653.90234375
4147000,2607000,40339.0625
4149000,2607000,39598.453125
4151000,2607000,48187.91015625
4153000,2607000,53459.99609375
4155000,2607000,51497.34375
4157000,2607000,46579.7421875
4159000,2607000,39867.296875
4161000,2607000,40599.734375
4163000,2607000,48809.76953125
4165000,2607000,55519.109375
4167000,2607000,65626.0234375
4169000,2607000,65875.453125
4171000,2607000,63619.68359375
4173000,2607000,64130.85546875
4175000,2607000,59930.8828125
4177000,2607000,62349.29296875
4179000,2607000,58504.27734375
4181000,2607000,53412.4296875
4183000,2607000,52949.50390625
4185000,2607000,51594.515625
4187000,2607000,50889.3984375
4189000,2607000,48434.95703125
4191000,2607000,48868.69921875
4193000,2607000,47890.1796875
4195000,2607000,46354.69921875
4197000,2607000,49164.265625
4199000,2607000,53013.21484375
4201000,2607000,54710.1328125
4203000,2607000,51446.1875
4205000,2607000,48395.2265625
4207000,2607000,53498.2578125
4209000,2607000,50279.765625
4211000,2607000,50298.52734375
4213000,2607000,53775.0234375
4215000,2607000,54944.61328125
4217000,2607000,52602.4140625
4219000,2607000,50099.33984375
4221000,2607000,54559.16796875
4223000,2607000,54475.41796875
4225000,2607000,54318.12109375
4227000,2607000,50506.29296875
4229000,2607000,48149.58203125
4231000,2607000,57000.984375
4233000,2607000,55485.796875
4235000,2607000,52227.609375
4237000,2607000,47739.73046875
4239000,2607000,42302.171875
4241000,2607000,44578.51953125
4243000,2607000,43711.72265625
4245000,2607000,51974.6875
4247000,2607000,57667.33984375
4249000,2607000,53095.15625
4251000,2607000,51958.5078125
4253000,2607000,49111.3359375
4255000,2607000,52388.0234375
4257000,2607000,54978.609375
4259000,2607000,48492.8125
4261000,2607000,54488.9453125
4263000,2607000,56242.96875
4265000,2607000,54828.11328125
4267000,2607000,53856.359375
4269000,2607000,55462.27734375
4271000,2607000,47166.5703125
4273000,2607000,44222.71875
4275000,2607000,44850.56640625
4277000,2607000,41424.32421875
4279000,2607000,47412.921875
4281000,2607000,55318.80078125
4283000,2607000,56767.97265625
4285000,2607000,54262.4296875
4287000,2607000,48144.7265625
4289000,2607000,45638.1875
4291000,2607000,40807.796875
4293000,2607000,42141.9921875
4295000,2607000,48299.4921875
4297000,2607000,52003.2265625
4299000,2607000,57453.734375
4301000,2607000,53850.56640625
4303000,2607000,53135.57421875
4305000,2607000,51143.5546875
4307000,2607000,52533.12890625
4309000,2607000,53700.9296875
4311000,2607000,54092.4453125
4313000,2607000,50067.9296875
4315000,2607000,43171.4140625
4317000,2607000,46379.5859375
4319000,2607000,52989.6484375
4321000,2607000,54399.66796875
4323000,2607000,51410.92578125
4325000,2607000,51962.52734375
4327000,2607000,56054.2109375
4329000,2607000,54577.15625
4331000,2607000,51321.8125
4333000,2607000,46497.80078125
4335000,2607000,51827.2109375
4337000,2607000,55637.5390625
4339000,2607000,46783.546875
4341000,2607000,51572.1015625
4343000,2607000,57045.6015625
4345000,2607000,51129.453125
4347000,2607000,52558.64453125
4349000,2607000,51151.34375
4351000,2607000,49735.125
4353000,2607000,53256.85546875
4355000,2607000,50584.84765625
4357000,2607000,55531.00390625
4359000,2607000,52206.03125
4361000,2607000,41520.28125
4363000,2607000,38744.4375
4365000,2607000,49165.7734375
4367000,2607000,54138.359375
4369000,2607000,54555.1640625
4371000,2607000,55438.98046875
4373000,2607000,48796.25
4375000,2607000,49047.71875
4377000,2607000,53596.4296875
4379000,2607000,49040.37890625
4381000,2607000,40254.125
4383000,2607000,37005.63671875
4385000,2607000,42655.51171875
4387000,2607000,48999.0859375
4389000,2607000,47523.81640625
4391000,2607000,51388.7578125
4393000,2607000,52067.43359375
4395000,2607000,52079.50390625
4397000,2607000,48885.49609375
4399000,2607000,43983.390625
4401000,2607000,37538.875
4403000,2607000,33569.1875
4405000,2607000,38227.13671875
4407000,2607000,42468.34765625
4409000,2607000,38670.65625
4411000,2607000,31124.87109375
4413000,2607000,28552.734375
4415000,2607000,33366.13671875
4417000,2607000,40633.27734375
4419000,2607000,45148.43359375
4421000,2607000,46020.6640625
4423000,2607000,41948.48046875
4425000,2607000,40549.640625
4427000,2607000,40620.6796875
4429000,2607000,45897.3359375
4431000,2607000,46434.69921875
4433000,2607000,45858.8984375
4435000,2607000,42643.59375
4437000,2607000,34269.3828125
4439000,2607000,37039.2421875
4441000,2607000,39900.86328125
4443000,2607000,44441.14453125
4445000,2607000,48855.32421875
4447000,2607000,43441.296875
4449000,2607000,44669.5859375
4451000,2607000,42514.01953125
4453000,2607000,42210.91015625
4455000,2607000,43190.5546875
4457000,2607000,45195.05078125
4459000,2607000,49394.72265625
4461000,2607000,49472.80078125
4463000,2607000,44283.8984375
4465000,2607000,41963.66796875
4467000,2607000,43721.41015625
4469000,2607000,42207.70703125
4471000,2607000,40372.69140625
4473000,2607000,43346.53515625
4475000,2607000,49693.95703125
4477000,2607000,49250.78125
4479000,2607000,50981.8203125
4481000,2607000,47643.484375
4483000,2607000,37331.42578125
4485000,2607000,34043.05859375
4487000,2607000,37301.4453125
4489000,2607000,40139.0625
4491000,2607000,40091.078125
4493000,2607000,35938.515625
4495000,2607000,37098.328125
4497000,2607000,37337.65234375
4499000,2607000,31928.173828125
4501000,2607000,30701.4296875
4503000,2607000,32595.00390625
4505000,2607000,30414.044921875
4507000,2607000,27289.96875
4509000,2607000,25829.81640625
4511000,2607000,28168.28515625
4513000,2607000,30789.638671875
4515000,2607000,25682.982421875
4517000,2607000,28077.671875
4519000,2607000,30557.5078125
4521000,2607000,30887.734375
4523000,2607000,34842.48828125
4525000,2607000,29667.708984375
4527000,2607000,32994.12109375
4529000,2607000,34190.390625
4531000,2607000,35003.515625
4533000,2607000,30707.16796875
4535000,2607000,28173.62109375
4537000,2607000,28670.546875
4539000,2607000,27300.63671875
4541000,2607000,21036.78125
4057000,2605000,42220.35546875
4059000,2605000,41898.33203125
4061000,2605000,41072.04296875
4063000,2605000,41280.0234375
4065000,2605000,41435.87109375
4067000,2605000,41494.984375
4069000,2605000,41508.28125
4071000,2605000,42681.41015625
4073000,2605000,41301.1640625
4075000,2605000,40170.6640625
4077000,2605000,39253.046875
4079000,2605000,38648.85546875
4081000,2605000,39957.1328125
4083000,2605000,37806.98046875
4085000,2605000,40145.0703125
4087000,2605000,42091.79296875
4089000,2605000,43929.01171875
4091000,2605000,45070.56640625
4093000,2605000,42230.26953125
4095000,2605000,34324.25
4097000,2605000,38995.7734375
4099000,2605000,42175.40234375
4101000,2605000,49498.7734375
4103000,2605000,47283.0390625
4105000,2605000,44014.55859375
4107000,2605000,44721.78125
4109000,2605000,42768.203125
4111000,2605000,44893.171875
4113000,2605000,42925.34765625
4115000,2605000,39153.6953125
4117000,2605000,37699.0390625
4119000,2605000,39282.4921875
4121000,2605000,38003.44140625
4123000,2605000,45565.9296875
4125000,2605000,45599.109375
4127000,2605000,46639.22265625
4129000,2605000,46218.203125
4131000,2605000,45922.4765625
4133000,2605000,46041.4765625
4135000,2605000,38735.4609375
4137000,2605000,35663.5703125
4139000,2605000,45301.7265625
4141000,2605000,38082.484375
4143000,2605000,38236.68359375
4145000,2605000,49106.03125
4147000,2605000,47313.4140625
4149000,2605000,44544.390625
4151000,2605000,45264.421875
4153000,2605000,53508.37109375
4155000,2605000,46036.9375
4157000,2605000,40874.8515625
4159000,2605000,38635.484375
4161000,2605000,41885.984375
4163000,2605000,59670.72265625
4165000,2605000,66686.3125
4167000,2605000,63277.9453125
4169000,2605000,66353.6953125
4171000,2605000,64053.85546875
4173000,2605000,68210.71875
4175000,2605000,65558.7265625
4177000,2605000,68288.8046875
4179000,2605000,57830.69140625
4181000,2605000,59528.35546875
4183000,2605000,59313.7421875
4185000,2605000,55894.5546875
4187000,2605000,52711.96484375
4189000,2605000,53705.5859375
4191000,2605000,53076.84765625
4193000,2605000,47400.98828125
4195000,2605000,41502.2265625
4197000,2605000,50312.4140625
4199000,2605000,56217.1875
4201000,2605000,55853.6953125
4203000,2605000,55109.52734375
4205000,2605000,53148.26953125
4207000,2605000,54696.0078125
4209000,2605000,53158.3359375
4211000,2605000,48277.49609375
4213000,2605000,49983.1484375
4215000,2605000,49444.5390625
4217000,2605000,44352.8046875
4219000,2605000,49311.8125
4221000,2605000,48379.8359375
4223000,2605000,50542.76953125
4225000,2605000,52907.01171875
4227000,2605000,52361.421875
4229000,2605000,47087.18359375
4231000,2605000,50160.81640625
4233000,2605000,51640.37890625
4235000,2605000,48426.02734375
4237000,2605000,43614.8828125
4239000,2605000,39511.3046875
4241000,2605000,44186.64453125
4243000,2605000,49872.1875
4245000,2605000,54473.046875
4247000,2605000,55450.3828125
4249000,2605000,53695.57421875
4251000,2605000,51364.80859375
4253000,2605000,53991.28125
4255000,2605000,56810.8828125
4257000,2605000,52275.1015625
4259000,2605000,53965.703125
4261000,2605000,55148.14453125
4263000,2605000,50665.02734375
4265000,2605000,51984.45703125
4267000,2605000,48255.546875
4269000,2605000,44879.12109375
4271000,2605000,44871.7890625
4273000,2605000,48283.05859375
4275000,2605000,47323.9765625
4277000,2605000,45479.40625
4279000,2605000,46056.9921875
4281000,2605000,56171.9765625
4283000,2605000,57768.0703125
4285000,2605000,51936.95703125
4287000,2605000,48410.87890625
4289000,2605000,53020.953125
4291000,2605000,44585.46875
4293000,2605000,43612.37109375
4295000,2605000,52388.9375
4297000,2605000,55839.3046875
4299000,2605000,56468.0078125
4301000,2605000,58301.359375
4303000,2605000,57515.73828125
4305000,2605000,52789.90625
4307000,2605000,51169.2734375
4309000,2605000,47871.5703125
4311000,2605000,47166.12109375
4313000,2605000,44172.1640625
4315000,2605000,46418.87109375
4317000,2605000,47835.9375
4319000,2605000,52171.609375
4321000,2605000,56801.91796875
4323000,2605000,56169.6953125
4325000,2605000,54524.52734375
4327000,2605000,55458.15625
4329000,2605000,49787.34375
4331000,2605000,47538.42578125
4333000,2605000,45815.1328125
4335000,2605000,50397.21484375
4337000,2605000,54903.0625
4339000,2605000,50179.18359375
4341000,2605000,48200.20703125
4343000,2605000,56783.8671875
4345000,2605000,55603.875
4347000,2605000,55361.59765625
4349000,2605000,55474.1796875
4351000,2605000,55660.09375
4353000,2605000,57497.92578125
4355000,2605000,54201.8515625
4357000,2605000,56707.796875
4359000,2605000,50537.6796875
4361000,2605000,42948.9296875
4363000,2605000,48514.4921875
4365000,2605000,47385.61328125
4367000,2605000,55821.4375
4369000,2605000,59424.32421875
4371000,2605000,60619.3203125
4373000,2605000,51515.13671875
4375000,2605000,57129.9609375
4377000,2605000,56299.296875
4379000,2605000,48216.453125
4381000,2605000,39285.359375
4383000,2605000,47633.109375
4385000,2605000,52944.734375
4387000,2605000,56702.5
4389000,2605000,52528.4375
4391000,2605000,47202.453125
4393000,2605000,45105.84765625
4395000,2605000,46592.88671875
4397000,2605000,40925.2578125
4399000,2605000,37044.71875
4401000,2605000,37858.171875
4403000,2605000,37589.1328125
4405000,2605000,43044.19140625
4407000,2605000,43255.85546875
4409000,2605000,39347.01171875
4411000,2605000,33974.21484375
4413000,2605000,30148.92578125
4415000,2605000,30733.265625
4417000,2605000,38128.578125
4419000,2605000,44862.19921875
4421000,2605000,46328.375
4423000,2605000,44292.90625
4425000,2605000,40210.7734375
4427000,2605000,38744.515625
4429000,2605000,42793.2421875
4431000,2605000,44950.484375
4433000,2605000,43903.8828125
4435000,2605000,38683.3203125
4437000,2605000,34243.203125
4439000,2605000,37920.1171875
4441000,2605000,39568.1328125
4443000,2605000,45053.5
4445000,2605000,49245.69921875
4447000,2605000,48152.765625
4449000,2605000,47828.8671875
4451000,2605000,45342.1015625
4453000,2605000,45052.99609375
4455000,2605000,47085.45703125
4457000,2605000,46129.27734375
4459000,2605000,49176.8125
4461000,2605000,48153.2109375
4463000,2605000,44794.33203125
4465000,2605000,42194.19140625
4467000,2605000,44471.03125
4469000,2605000,44932.28515625
4471000,2605000,43351.6640625
4473000,2605000,44464.8125
4475000,2605000,50820.765625
4477000,2605000,49385.59765625
4479000,2605000,51573.4453125
4481000,2605000,45400.9453125
4483000,2605000,36739.6640625
4485000,2605000,32392.6015625
4487000,2605000,36832.25390625
4489000,2605000,43248.98828125
4491000,2605000,45492.7421875
4493000,2605000,35937.76953125
4495000,2605000,32412.36328125
4497000,2605000,31345.603515625
