"x","y","EEA_1kmgrid_2014_pm25_avg"
4509500,2621500,5.094
4510500,2621500,4.811
4511500,2621500,4.811
4512500,2621500,4.811
4513500,2621500,4.811
4514500,2621500,4.811
4515500,2621500,4.811
4516500,2621500,4.811
4507500,2620500,5.094
4508500,2620500,5.094
4509500,2620500,5.094
4510500,2620500,4.811
4511500,2620500,4.811
4512500,2620500,4.811
4513500,2620500,4.811
4514500,2620500,4.811
4515500,2620500,4.811
4516500,2620500,4.811
4517500,2620500,4.811
4518500,2620500,4.811
4519500,2620500,4.811
4520500,2620500,4.882
4521500,2620500,4.882
4522500,2620500,4.882
4523500,2620500,4.882
4524500,2620500,4.882
4506500,2619500,5.639
4507500,2619500,5.639
4508500,2619500,5.639
4509500,2619500,5.639
4510500,2619500,5.252
4511500,2619500,5.252
4512500,2619500,5.252
4513500,2619500,5.252
4514500,2619500,5.252
4515500,2619500,5.252
4516500,2619500,5.252
4517500,2619500,5.252
4518500,2619500,5.252
4519500,2619500,5.252
4520500,2619500,5.522
4521500,2619500,5.522
4522500,2619500,5.522
4523500,2619500,5.522
4524500,2619500,5.522
4525500,2619500,5.522
4526500,2619500,5.522
4527500,2619500,5.522
4528500,2619500,5.522
4480500,2618500,5.281
4481500,2618500,5.281
4504500,2618500,5.639
4505500,2618500,5.639
4506500,2618500,5.639
4507500,2618500,5.639
4508500,2618500,5.639
4509500,2618500,5.639
4510500,2618500,5.252
4511500,2618500,5.252
4512500,2618500,5.252
4513500,2618500,5.252
4514500,2618500,5.252
4515500,2618500,5.252
4516500,2618500,5.252
4517500,2618500,5.252
4518500,2618500,5.252
4519500,2618500,5.252
4520500,2618500,5.522
4521500,2618500,5.522
4522500,2618500,5.522
4523500,2618500,5.522
4524500,2618500,5.522
4525500,2618500,5.522
4526500,2618500,5.522
4527500,2618500,5.522
4528500,2618500,5.522
4529500,2618500,5.522
4479500,2617500,5.146
4480500,2617500,5.281
4481500,2617500,5.281
4482500,2617500,5.281
4483500,2617500,5.281
4484500,2617500,5.281
4485500,2617500,5.281
4486500,2617500,5.281
4487500,2617500,5.281
4488500,2617500,5.281
4502500,2617500,5.639
4503500,2617500,5.639
4504500,2617500,5.639
4505500,2617500,5.639
4506500,2617500,5.639
4507500,2617500,5.639
4508500,2617500,5.639
4509500,2617500,5.639
4510500,2617500,5.252
4511500,2617500,5.252
4512500,2617500,5.252
4513500,2617500,5.252
4514500,2617500,5.252
4515500,2617500,5.252
4516500,2617500,5.252
4517500,2617500,5.252
4518500,2617500,5.252
4519500,2617500,5.252
4520500,2617500,5.522
4521500,2617500,5.522
4522500,2617500,5.522
4523500,2617500,5.522
4524500,2617500,5.522
4525500,2617500,5.522
4526500,2617500,5.522
4527500,2617500,5.522
4528500,2617500,5.522
4529500,2617500,5.522
4530500,2617500,6.821
4479500,2616500,5.146
4480500,2616500,5.281
4481500,2616500,5.281
4482500,2616500,5.281
4483500,2616500,5.281
4484500,2616500,5.281
4485500,2616500,5.281
4486500,2616500,5.281
4487500,2616500,5.281
4488500,2616500,5.281
4489500,2616500,5.281
4490500,2616500,5.498
4491500,2616500,5.498
4492500,2616500,5.498
4493500,2616500,5.498
4494500,2616500,5.498
4495500,2616500,5.498
4501500,2616500,5.639
4502500,2616500,5.639
4503500,2616500,5.639
4504500,2616500,5.639
4505500,2616500,5.639
4506500,2616500,5.639
4507500,2616500,5.639
4508500,2616500,5.639
4509500,2616500,5.639
4510500,2616500,5.252
4511500,2616500,5.252
4512500,2616500,5.252
4513500,2616500,5.252
4514500,2616500,5.252
4515500,2616500,5.252
4516500,2616500,5.252
4517500,2616500,5.252
4518500,2616500,5.252
4519500,2616500,5.252
4520500,2616500,5.522
4521500,2616500,5.522
4522500,2616500,5.522
4523500,2616500,5.522
4524500,2616500,5.522
4525500,2616500,5.522
4526500,2616500,5.522
4527500,2616500,5.522
4528500,2616500,5.522
4529500,2616500,5.522
4530500,2616500,6.821
4478500,2615500,5.146
4479500,2615500,5.146
4480500,2615500,5.281
4481500,2615500,5.281
4482500,2615500,5.281
4483500,2615500,5.281
4484500,2615500,5.281
4485500,2615500,5.281
4486500,2615500,5.281
