"x","y","nox_avg_22"
4333000,2611000,2.37993955612183
4335000,2611000,4.35227012634277
4337000,2611000,3.47387194633484
4339000,2611000,3.91209435462952
4341000,2611000,3.06262993812561
4329000,2609000,2.01071667671204
4331000,2609000,2.93188881874084
4333000,2609000,2.97025322914124
4335000,2609000,3.74575972557068
4337000,2609000,2.40288114547729
4339000,2609000,3.53415751457214
4341000,2609000,3.52965021133423
4343000,2609000,3.59695172309875
4345000,2609000,3.20436501502991
4329000,2607000,2.04609608650208
4331000,2607000,2.90603351593018
4333000,2607000,4.11439847946167
4335000,2607000,2.87378334999084
4337000,2607000,2.07016468048096
4339000,2607000,4.2184681892395
4341000,2607000,3.10795640945435
4343000,2607000,1.81943261623383
4345000,2607000,3.69531965255737
4347000,2607000,3.38129138946533
4349000,2607000,3.90425992012024
4327000,2605000,1.76261711120605
4329000,2605000,3.27401161193848
4331000,2605000,3.90119051933289
4333000,2605000,4.37277698516846
4335000,2605000,3.31130957603455
4337000,2605000,2.34117031097412
4339000,2605000,3.50194907188416
4341000,2605000,4.01103639602661
4343000,2605000,2.02019667625427
4345000,2605000,2.73607134819031
4347000,2605000,2.85290598869324
4349000,2605000,2.97080254554749
4351000,2605000,3.01341986656189
4353000,2605000,3.01466798782349
4327000,2603000,2.54468607902527
4329000,2603000,2.8545286655426
4331000,2603000,4.2062520980835
4333000,2603000,3.68495178222656
4335000,2603000,3.67132830619812
4337000,2603000,2.75658440589905
4339000,2603000,2.96004247665405
4341000,2603000,4.34001731872559
4343000,2603000,3.75647783279419
4345000,2603000,3.21162819862366
4347000,2603000,2.8149561882019
4349000,2603000,3.06453657150269
4351000,2603000,2.62109088897705
4353000,2603000,3.56150531768799
4355000,2603000,3.32003426551819
4327000,2601000,2.1978132724762
4329000,2601000,2.73670315742493
4331000,2601000,4.19014549255371
4333000,2601000,2.91218566894531
4335000,2601000,3.60100626945496
4337000,2601000,2.8100209236145
4339000,2601000,3.22194528579712
4341000,2601000,2.95506834983826
4343000,2601000,3.82177495956421
4345000,2601000,5.0233097076416
4347000,2601000,4.48897361755371
4349000,2601000,3.53076004981995
4351000,2601000,3.56610751152039
4353000,2601000,3.9122040271759
4355000,2601000,2.77959942817688
4357000,2601000,3.17082262039185
4359000,2601000,4.15603828430176
4269000,2599000,5.49645137786865
4271000,2599000,4.78768634796143
4327000,2599000,1.58800041675568
4329000,2599000,2.943852186203
4331000,2599000,3.53508710861206
4333000,2599000,2.3965117931366
4335000,2599000,2.9331316947937
4337000,2599000,2.99481081962585
4339000,2599000,3.02606630325317
4341000,2599000,3.65748167037964
4343000,2599000,3.54019904136658
4345000,2599000,4.97350740432739
4347000,2599000,5.27361869812012
4349000,2599000,5.9399037361145
4351000,2599000,4.28574562072754
4353000,2599000,3.32272744178772
4355000,2599000,2.49297142028809
4357000,2599000,1.41966938972473
4359000,2599000,1.59732341766357
4361000,2599000,1.27284574508667
4267000,2597000,4.40531253814697
4269000,2597000,6.3401083946228
4271000,2597000,6.61265182495117
4273000,2597000,5.28788948059082
4275000,2597000,4.18126773834229
4277000,2597000,1.96264314651489
4279000,2597000,3.99862766265869
4325000,2597000,1.41733253002167
4327000,2597000,2.39095330238342
4329000,2597000,3.5212574005127
4331000,2597000,2.76759696006775
4333000,2597000,1.95709443092346
4335000,2597000,2.17619013786316
4337000,2597000,2.66558599472046
4339000,2597000,3.9564573764801
4341000,2597000,5.34397840499878
4343000,2597000,6.06953048706055
4345000,2597000,7.04006147384644
4347000,2597000,7.14263153076172
4349000,2597000,7.4208197593689
4351000,2597000,5.04425573348999
4353000,2597000,3.50707173347473
4355000,2597000,3.28094506263733
4357000,2597000,3.73836183547974
4359000,2597000,2.58418989181519
4361000,2597000,1.49423718452454
4363000,2597000,0.51218056678772
4365000,2597000,0.637301445007324
4197000,2595000,1.63183212280273
4265000,2595000,2.64736866950989
4267000,2595000,4.25643682479858
4269000,2595000,6.94019222259521
4271000,2595000,6.87891864776611
4273000,2595000,6.41973876953125
4275000,2595000,3.02906560897827
4277000,2595000,2.17174601554871
4279000,2595000,3.83786869049072
4325000,2595000,1.64370131492615
4327000,2595000,2.60888886451721
4329000,2595000,2.84800148010254
4331000,2595000,2.26164722442627
4333000,2595000,2.01852226257324
4335000,2595000,1.93358910083771
4337000,2595000,1.91754484176636
4339000,2595000,3.37856340408325
4341000,2595000,5.41546773910522
4343000,2595000,4.37307691574097
4345000,2595000,5.32974624633789
4347000,2595000,6.50763702392578
4349000,2595000,8.01586437225342
4351000,2595000,7.2130012512207
4353000,2595000,5.94290351867676
4355000,2595000,5.31075096130371
4357000,2595000,3.40055799484253
4359000,2595000,3.36274647712708
4361000,2595000,2.93909645080566
4363000,2595000,1.8405681848526
4365000,2595000,0.590924501419067
4367000,2595000,0.490158438682556
4195000,2593000,2.11931109428406
4197000,2593000,2.95618915557861
4199000,2593000,2.47502398490906
4201000,2593000,2.66505193710327
4265000,2593000,3.03651452064514
4267000,2593000,5.35260391235352
4269000,2593000,8.23576259613037
4271000,2593000,7.81723928451538
4273000,2593000,6.5791540145874
4275000,2593000,2.91184306144714
4277000,2593000,3.2128369808197
4279000,2593000,3.48472785949707
4281000,2593000,4.12885522842407
4325000,2593000,2.45497989654541
4327000,2593000,2.0843334197998
4329000,2593000,2.65513849258423
4331000,2593000,1.30062139034271
4333000,2593000,1.27048873901367
4335000,2593000,2.18364191055298
4337000,2593000,3.52290463447571
4339000,2593000,4.40656185150146
4341000,2593000,4.28646612167358
4343000,2593000,3.53101825714111
4345000,2593000,3.97482919692993
4347000,2593000,6.14066648483276
4349000,2593000,7.93680858612061
4351000,2593000,5.93456172943115
4353000,2593000,5.09812545776367
4355000,2593000,5.67001056671143
4357000,2593000,3.33269071578979
4359000,2593000,1.55371165275574
4361000,2593000,0.867162585258484
4363000,2593000,0.945163667201996
4365000,2593000,1.87127935886383
4367000,2593000,0.519056975841522
4369000,2593000,0.0500000007450581
4191000,2591000,0.59535425901413
4193000,2591000,1.68786919116974
4195000,2591000,1.73178124427795
4197000,2591000,3.59791135787964
4199000,2591000,4.1286153793335
4201000,2591000,2.30904817581177
4203000,2591000,0.847270548343658
4265000,2591000,3.80439352989197
4267000,2591000,5.90997838973999
4269000,2591000,7.51584720611572
4271000,2591000,8.33359718322754
4273000,2591000,6.8438777923584
4275000,2591000,3.62283778190613
4277000,2591000,3.75649452209473
4279000,2591000,3.00965332984924
4281000,2591000,4.07001209259033
4327000,2591000,1.52338433265686
4329000,2591000,1.32951927185059
4331000,2591000,0.981483161449432
4333000,2591000,1.71754884719849
